 Value of m    Value of n  Wavelength in Å
        47         7      45691.734
        47         8      60096.332
        47         9      76667.039
        47        10      95503.375
        47        11     116721.320
        47        12     140455.172
        47        13     166859.844
        47        14     196113.547
        47        15     228421.062
        47        16     264017.688
        47        17     303173.969
        47        18     346201.500
        47        19     393459.969
        47        20     445365.688
        47        21     502402.312
        47        22     565134.188
        47        23     634222.562
        47        24     710446.875
        47        25     794731.000
        47        26     888177.625
        47        27     992112.938
        47        28    1108144.875
        47        29    1238241.125
        47        30    1384835.375
        47        31    1550972.500
        47        32    1740511.625
        47        33    1958417.000
        47        34    2211183.250
        47        35    2507473.000
        47        36    2859101.000
        47        37    3282611.000
        47        38    3801903.500
        47        39    4452829.000
        47        40    5291734.000
        47        41    6412526.000
        47        42    7984244.500
        47        43   10344982.000
        47        44   14283615.000
        47        45   22166772.000
        47        46   45827660.000
        48         1        912.196
        48         2       3653.543
        48         3       8238.381
        48         4      14690.819
        48         5      23045.055
        48         6      33345.828
        48         7      45649.035
        48         8      60022.492
        48         9      76546.898
        48        10      95317.023
        48        11     116443.094
        48        12     140052.484
        48        13     166291.828
        48        14     195329.375
        48        15     227357.922
        48        16     262598.406
        48        17     301303.969
        48        18     343765.156
        48        19     390316.094
        48        20     441341.844
        48        21     497287.781
        48        22     558670.875
        48        23     626093.750
        48        24     700262.375
        48        25     782008.312
        48        26     872317.000
        48        27     972364.312
        48        28    1083563.875
        48        29    1207629.500
        48        30    1346658.375
        48        31    1503243.625
        48        32    1680629.625
        48        33    1882927.750
        48        34    2115426.750
        48        35    2385045.750
        48        36    2701012.000
        48        37    3075911.750
        48        38    3527368.500
        48        39    4080839.000
        48        40    4774516.500
        48        41    5668417.000
        48        42    6862571.000
        48        43    8537046.000
        48        44   11051971.000
        48        45   15247650.000
        48        46   23645026.000
        48        47   48848848.000
        49         1        912.180
        49         2       3653.286
        49         3       8237.076
        49         4      14686.671
        49         5      23034.848
        49         6      33324.457
        49         7      45608.996
        49         8      59953.289
        49         9      76434.383
        49        10      95142.625
        49        11     116182.922
        49        12     139676.281
        49        13     165761.719
        49        14     194598.375
        49        15     226368.156
        49        16     261278.938
        49        17     299568.156
        49        18     341507.500
        49        19     387408.156
        49        20     437627.531
        49        21     492577.156
        49        22     552732.500
        49        23     618645.062
        49        24     690957.562
        49        25     770422.250
        49        26     857925.062
        49        27     954515.562
        49        28    1061445.750
        49        29    1180220.500
        49        30    1312664.000
        49        31    1461008.125
        49        32    1628012.625
        49        33    1817129.000
        49        34    2032732.375
        49        35    2280449.750
        49        36    2567642.000
        49        37    2904126.000
        49        38    3303292.500
        49        39    3783887.750
        49        40    4372997.500
        49        41    5111248.500
        49        42    6062488.000
        49        43    7333134.000
        49        44    9114739.000
        49        45   11790411.000
        49        46   16254083.000
        49        47   25187572.000
        49        48   51999896.000
        50         1        912.165
        50         2       3653.045
        50         3       8235.849
        50         4      14682.770
        50         5      23025.252
        50         6      33304.383
        50         7      45571.398
        50         8      59888.340
        50         9      76328.852
        50        10      94979.172
        50        11     115939.266
        50        12     139324.266
        50        13     165266.188
        50        14     193915.797
        50        15     225445.031
        50        16     260049.906
        50        17     297953.625
        50        18     339410.844
        50        19     384712.250
        50        20     434190.500
        50        21     488227.031
        50        22     547260.938
        50        23     611798.812
        50        24     682428.250
        50        25     759833.375
        50        26     844814.688
        50        27     938314.812
        50        28    1041449.938
        50        29    1155551.250
        50        30    1282218.750
        50        31    1423391.375
        50        32    1581441.750
        50        33    1759302.125
        50        34    1960641.125
        50        35    2190107.750
        50        36    2453681.000
        50        37    2759182.250
        50        38    3117043.500
        50        39    3541490.250
        50        40    4052444.500
        50        41    4678681.000
        50        42    5463366.000
        50        43    6474340.000
        50        44    7824667.500
        50        45    9717867.000
        50        46   12560991.000
        50        47   17303832.000
        50        48   26795744.000
        50        49   55283588.000
